cpu,ram,swap,disk
12.4,68.7,65.2,69.0
32.5,68.7,65.2,69.0
7.9,68.7,65.2,69.0
3.2,68.7,65.2,69.0
12.7,68.7,65.2,69.0
20.8,68.8,65.2,69.0
16.2,68.8,65.2,69.0
0.0,68.8,65.2,69.0
0.0,68.8,65.2,69.0
5.4,68.8,65.2,69.0
4.3,68.6,65.2,69.0
4.4,68.6,65.2,69.0
4.3,68.6,65.2,69.0
4.4,68.6,65.2,69.0
4.3,68.6,65.2,69.0
3.7,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
15.5,68.6,65.2,69.0
17.8,68.7,65.2,69.0
10.9,68.6,65.2,69.0
3.2,68.6,65.2,69.0
9.4,68.6,65.2,69.0
7.5,68.6,65.2,69.0
8.8,68.6,65.2,69.0
9.4,68.6,65.2,69.0
4.3,68.6,65.2,69.0
6.2,68.6,65.2,69.0
3.7,68.6,65.2,69.0
4.4,68.6,65.2,69.0
10.5,68.6,65.2,69.0
5.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
4.1,68.6,65.2,69.0
3.7,68.6,65.2,69.0
6.0,68.6,65.2,69.0
3.1,68.6,65.2,69.0
7.6,68.6,65.2,69.0
19.6,68.6,65.2,69.0
10.5,68.6,65.2,69.0
6.9,68.6,65.2,69.0
6.3,68.6,65.2,69.0
7.9,68.6,65.2,69.0
10.2,68.6,65.2,69.0
8.1,68.6,65.2,69.0
8.1,68.6,65.2,69.0
9.1,68.6,65.2,69.0
6.9,68.6,65.2,69.0
7.5,68.6,65.2,69.0
14.1,68.8,65.2,69.0
16.1,68.9,65.2,69.0
3.7,68.9,65.2,69.0
7.9,68.9,65.2,69.0
7.5,68.9,65.2,69.0
4.4,68.9,65.2,69.0
8.0,68.9,65.2,69.0
5.6,68.9,65.2,69.0
11.8,68.9,65.2,69.0
6.8,68.9,65.2,69.0
7.0,68.7,65.2,69.0
7.4,68.7,65.2,69.0
6.2,68.7,65.2,69.0
5.5,68.7,65.2,69.0
14.9,68.7,65.2,69.0
21.4,68.7,65.2,69.0
7.0,68.7,65.2,69.0
5.5,68.7,65.2,69.0
4.3,68.7,65.2,69.0
3.2,68.7,65.2,69.0
9.8,68.7,65.2,69.0
11.7,68.7,65.2,69.0
0.0,68.7,65.2,69.0
0.0,68.7,65.2,69.0
9.1,68.7,65.2,69.0
11.9,68.7,65.2,69.0
16.1,68.7,65.2,69.0
22.8,68.7,65.2,69.0
14.3,68.7,65.2,69.0
8.1,68.7,65.2,69.0
10.6,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
7.1,68.6,65.2,69.0
6.2,68.5,65.2,69.0
5.0,68.5,65.2,69.0
10.1,68.5,65.2,69.0
6.7,68.5,65.2,69.0
